sma,Total_int,Sersic,Exponential
0.0,2640.7455710281974,2266.4635710281973,374.282
3.013887568120964,1238.0554459958544,893.2155120650053,344.83993393084904
6.027775136241928,596.765852610147,279.0519897114976,317.7138628986495
9.041662704362892,371.0164830637536,78.29487878974328,292.7216042740103
12.055550272483856,290.0703852775815,20.37507885626862,269.6953064213129
15.06943784060482,253.47945544125784,4.9991340584885675,248.48032138276926
18.083325408725784,230.10233982306397,1.1681735827684547,228.93416624029553
21.09721297684675,211.18734953332904,0.2617833537704998,210.92556617955853
24.111100544967712,194.39011832910975,0.05654549983693473,194.3335728292728
27.124988113088676,179.05857042620934,0.011818471821268805,179.04675195438807
30.13887568120964,164.964832605269,0.0023975576730756983,164.96243504759593
33.152763249330604,151.98650306403752,0.00047327130116184925,151.98602979273636
36.16665081745157,140.03047586314014,9.109406422455184e-05,140.0303847690759
39.18053838557253,129.01522125645414,1.7126735087657023e-05,129.01520412971905
42.1944259536935,118.86651147312136,3.1500726505122887e-06,118.86650832304872
45.20831352181446,109.51613780286452,5.675423696179448e-07,109.51613723532215
48.222201089935425,100.90129251773453,1.0027849888443676e-07,100.90129241745603
51.23608865805639,92.9641153389235,1.7393685873397416e-08,92.96411532152982
54.24997622617735,85.65129871734605,2.9644502239456534e-09,85.6512987143816
57.26386379429832,78.91372865899167,4.968434284094063e-10,78.91372865849483
60.27775136241928,72.70615465574882,8.194785155668603e-11,72.70615465566686
63.291638930540245,66.98688573810988,1.331032268959719e-11,66.98688573809656
66.30552649866121,61.71751046579677,2.130283975322514e-12,61.71751046579464
69.31941406678217,56.86263894977915,3.36145330384472e-13,56.86263894977881
72.33330163490314,52.38966516844375,5.232155972135605e-14,52.3896651684437
75.3471892030241,48.268547980788384,8.037195623970201e-15,48.26854798078838
78.36107677114506,44.47160936575383,1.2189607725573755e-15,44.47160936575383
81.37496433926603,40.97334853261733,1.8260548696693099e-16,40.97334853261733
84.388851907387,37.750270653981254,2.7029767097290665e-17,37.750270653981254
87.40273947550796,34.78072907110298,3.9548480055401574e-18,34.78072907110298
90.41662704362892,32.04477991179355,5.721647989236782e-19,32.04477991179355
93.43051461174989,29.524048144477916,8.187518281059152e-20,29.524048144477916
96.44440217987085,27.201604168816484,1.1591807196982956e-20,27.201604168816484
99.45828974799181,25.06185011405247,1.6241955059332012e-21,25.06185011405247
102.47217731611278,23.090415081448462,2.2528257989250896e-22,23.090415081448462
105.48606488423374,21.274058627245154,3.094046114969251e-23,21.274058627245154
108.4999524523547,19.60058183791961,4.208602251497192e-24,19.60058183791961
111.51384002047567,18.058745400511903,5.670975542346004e-25,18.058745400511903
114.52772758859663,16.638194117768286,7.571440462775966e-26,16.638194117768286
117.5416151567176,15.329387361133737,1.0018154051758851e-26,15.329387361133737
120.55550272483856,14.123534994506148,1.3139197607370661e-27,14.123534994506148
123.56939029295953,13.012538338406696,1.7084472956137682e-28,13.012538338406696
126.58327786108049,11.988935778073229,2.202733837206019e-29,11.988935778073229
129.59716542920145,11.045852650172769,2.8165854174209106e-30,11.045852650172769
132.61105299732242,10.176955071564947,3.5723496533172153e-31,10.176955071564947
135.62494056544338,9.376407400023714,4.4949191483868925e-32,9.376407400023714
138.63882813356435,8.638833041217323,5.6116520949956944e-33,8.638833041217323
141.6527157016853,7.959278338720583,6.952195996090709e-34,7.959278338720583
144.66660326980627,7.333179304539473,8.548202015738316e-35,7.333179304539473
147.68049083792724,6.756330966705484,1.0432919973848684e-35,6.756330966705484
150.6943784060482,6.224859128073671,1.2640667434529214e-36,6.224859128073671
153.70826597416917,5.735194346652435,1.5206170659440243e-37,5.735194346652435
156.72215354229013,5.284047962713151,1.8163780307251014e-38,5.284047962713151
159.7360411104111,4.8683900116741965,2.1546570496605644e-39,4.8683900116741965
162.74992867853206,4.485428874419114,2.538533599314661e-40,4.485428874419114
165.76381624665302,4.132592528377562,2.970750855948478e-41,4.132592528377562
168.777703814774,3.807511273448464,3.453601960878418e-42,3.807511273448464
171.79159138289495,3.508001816750287,3.988814189054165e-43,3.508001816750287
174.8054789510159,3.2320526093092057,4.577434766748778e-44,3.2320526093092057
177.81936651913688,2.977810336204291,5.219722438514272e-45,2.977810336204291
180.83325408725784,2.7435674694355794,5.915049089586971e-46,2.7435674694355794
183.8471416553788,2.5277507999182207,6.661815763851451e-47,2.5277507999182207
186.86102922349977,2.3289108715819884,7.457387262943003e-48,2.3289108715819884
189.87491679162073,2.1457122466139684,8.298049161705905e-49,2.1457122466139684
