sma,intens,intens_err,ellipticity,ellipticity_err,pa,pa_err,grad,grad_error,grad_rerror,x0,x0_err,y0,y0_err,ndata,nflag,niter,stop_code
0.0,3626.38818359375,0.0,0.0,0.0,0.0,0.0,0.0,None,None,112,0.0,147,0.0,1,0,0,0
0.5153723524097881,3495.3367306892806,87.7376230365053,0.16610498319712175,0.09721265314735443,54.70999611640711,18.913896758348766,-248.29141448008815,2527.2528802280667,10.178575386990438,112,0.02734247098832651,147,0.028739219202235267,13,0,30,0
0.5669095876507669,3483.498871829499,95.89722724474345,0.17961687160852324,0.09370648533341636,53.69185506049127,16.204708636590592,-245.25954650713112,2510.783454176058,10.237250659284959,112,0.031635048460364586,147,0.03363980996138853,13,0,30,0
0.6236005464158436,3470.8460837598095,104.73437330873045,0.19427759057666344,0.09593053676470462,52.833118825887205,19.204572970510135,-241.74354965120148,2492.4485070416836,10.310299946525568,112,0.03574871065546557,147,0.037621677740387216,13,0,30,0
0.685960601057428,3457.3449821351896,114.29076639157127,0.21009243750478926,0.1059935311309854,52.107027968975444,16.512770196903666,-237.74864700866985,2472.146827160103,10.398153084210623,112,0.041240267725237006,147,0.043339495436277145,13,0,30,0
0.7545566611631708,3442.977277310235,124.60611952041405,0.2271035311303917,0.11163959114436585,51.48026213554726,16.470619911127717,-233.25998107853852,2449.739859539292,10.502186651187568,112,0.048125108834549325,147,0.05059576778485754,13,0,30,0
0.8300123272794878,3427.734236546343,135.71878507357252,0.24528345149164021,0.11733135121094497,50.95683360430808,16.035982616079828,-228.26152187887905,2425.0922304796236,10.624183219835162,112,0.05650299450664459,147,0.05944465201939214,13,0,30,0
0.9130135600074366,3411.640825338745,147.65950835476033,0.26474648220834396,0.12391405448153588,50.491920626792364,16.015537372079134,-222.70608346759184,2397.9836642811642,10.767481637429624,112,0.06670158360508173,147,0.07022172150809404,13,0,30,0
1.0043149160081803,3394.7332957989834,160.4545522844966,0.28548089138359567,0.0,50.1036804529076,0.0,-216.5608471888021,2368.2128575377656,10.935554086898774,112,0.0,147,0.0,13,0,30,0
1.1047464076089983,3377.077884669391,174.12421606492856,0.3074955207339621,0.0,49.759903445933055,0.0,-251.76549126514587,2323.8972411122722,9.230404172686512,112,0.0,147,0.0,13,0,30,0
1.2152210483698982,3349.4774293105947,188.90179423007805,0.30697178528674735,0.09013372897525132,47.58594693406068,10.294907513753193,-306.387153498425,2276.096735065445,7.4288256184251065,112,0.06794136150197684,147,0.06995414988831497,13,0,30,0
1.336743153206888,3305.7208741809413,202.87359572930106,0.2880548373448102,0.07356491534026605,47.0514892894468,8.660848051448413,-406.2205957959001,2199.7905883706894,5.415261094924747,112,0.05747257731458085,147,0.05872245399074214,13,0,30,0
1.470417468527577,3239.9674150084206,213.77110427906402,0.26155514522050083,0.0,47.389683999188755,0.0,-458.77580485292424,2094.1469570241466,4.564641236247179,112,0.0,147,0.0,13,0,30,0
1.6174592153803349,3148.751030707705,222.86221499055185,0.2125968484589533,0.042487003785810516,49.31748950146723,6.584389642418773,-504.63930391735175,1982.357303263298,3.9282657689856877,112,0.038879885751898935,147,0.04009852854652337,13,0,30,0
1.7792051369183683,3057.652388045845,230.90443095727068,0.19692838174101227,0.0,50.086348867865276,0.0,-518.2870576984908,1867.172731144586,3.602584134429222,112,0.0,147,0.0,13,0,30,0
1.9571256506102053,2962.263775379278,238.9766142060292,0.19196646058962508,0.02175632979610235,50.561619683122764,3.6750311028074742,-386.9353414668299,1757.6654183544774,4.542530056033027,112,0.02362854395026006,147,0.024469371475990535,13,0,30,0
2.152838215671226,2884.607098994843,247.19504222391885,0.19023543170615623,0.013390445842464297,51.64320471904938,2.285514979587459,-664.2837709884861,1627.5055669038024,2.4500155475452847,112,0.01598790610639023,147,0.016663131630291476,13,0,30,0
2.3681220372383485,2740.9837943182215,248.23037133638957,0.18876971114480498,0.011498444920616071,51.75456074833344,2.00321775983082,-439.3540092408626,1451.017691329094,3.3026162520656945,112,0.015231052413551487,147,0.01571053683912837,14,0,30,0
2.6049342409621836,2633.911148278334,234.98677379588065,0.168596994998866,0.00662455704867065,52.02808060217735,1.2379532180634234,-775.3513693829088,1218.3542705746208,1.5713576046744997,112,0.00936038712054398,147,0.009669138843209241,15,0,30,0
2.865427665058402,2426.573949048735,210.2082045937166,0.13731104833643717,0.0066643988336828,54.52676074743393,1.5232343647386888,-671.6593123446529,991.3702774589706,1.476001686030763,112,0.010246383603469075,147,0.010571414521676346,17,0,30,0
3.1519704315642425,2226.5706965852887,189.27088110580388,0.11780910443076462,0.00904618734382445,56.07055811373403,2.3992468204659274,-602.5435630529025,801.2787746253392,1.3298271258023346,112,0.015206877852391365,147,0.015642039331298114,19,0,30,0
3.467167474720667,2024.781927960833,164.61620314092818,0.09509710903965253,0.008883336351648239,59.969007650397096,2.8537687461241856,-559.7883478612381,624.6759089183237,1.1159144546416497,112,0.01608324064337006,147,0.016593822328466335,21,0,30,0
3.813884222192734,1784.0749898327792,137.97172063925123,0.07068247625576643,0.008427627527444722,64.82340423412201,3.58900928962573,-500.22915754610415,471.4001946677887,0.9423684876352726,112,0.016734547277768932,147,0.01697416804622759,24,0,30,0
4.195272644412007,1579.2122003047018,113.22231020571552,0.047083218348216736,0.006726040385681726,77.71260318841183,4.2299730064724805,-465.18010116670706,348.1130324989177,0.7483403344765258,112,0.014339395701099194,147,0.014686856418704023,26,0,30,0
