Total_int,sma,Sersic,Exponential
28014.352217825835,0.0,27508.335217825836,506.017
1895.5126035943924,4.149192024994209,1425.1362772136015,470.37632638079094
924.9547279068125,8.298384049988417,487.7087689380657,437.24595896874683
625.7470879589288,12.447576074982626,219.29800046865634,406.44908749027246
491.0019785657273,16.596768099976835,113.18062348378527,377.82135508194204
414.90993944245105,20.74596012497104,63.69995829229939,351.20998115015163
364.57111087626294,24.895152149965252,38.098164865209654,326.4729460110533
327.3272978940168,29.044344174959463,23.849064934662625,303.47823295935416
297.5764643961869,33.19353619995367,15.473340675136226,282.1031237210507
272.5685051100127,37.34272822494788,10.33496157994636,262.23354353006636
250.83516585774657,41.49192024994208,7.071713524149368,243.7634523335972
231.53329031934297,45.6411122749363,4.939011442197561,226.5942788771454
214.14535052157834,49.790304299930504,3.5109558725129526,210.63439464906537
198.33321467154178,53.93949632492471,2.5345897943753943,195.7986248771664
183.8626134483923,58.088688349918925,1.8548194807349547,182.00779396765734
170.56222714338244,62.23788037491313,1.373924182852361,169.18830296053008
158.30059252685228,66.38707239990734,1.0288557805088916,157.27173674634338
146.9725796613534,70.53626442490155,0.7780807131523337,146.19449894820107
136.49120111266666,74.68545644989575,0.5937285923061941,135.89747252036045
126.78249058668361,78.83464847488996,0.45678633453077067,126.32570425215283
117.78220069403918,82.98384049988417,0.3540892005638392,117.42811149347534
109.43360795399867,87.13303252487839,0.276398417293659,109.15720953670501
101.68600865546792,91.2822245498726,0.21715045534116154,101.46885820012676
94.49365604047436,95.4314165748668,0.17162978003443918,94.32202626043993
87.8149859057967,99.58060859986101,0.13641342863049613,87.67857247716621
81.61203498404836,103.72980062485522,0.10899294371892816,81.50304204032943
75.84999112114491,107.87899264984942,0.08751376605739009,75.76247735508753
70.49683564693439,112.02818467484363,0.07059349342189812,70.42624215351249
65.52305176212643,116.17737669983785,0.05719376728988295,65.46585799483654
60.901381337247955,120.32656872483206,0.04652905564922432,60.85485228159873
56.60661807889165,124.47576074982626,0.0380010983077819,56.56861698058387
52.615428677842054,128.62495277482046,0.031151383266801162,52.58427729457525
48.90619599676979,132.77414479981468,0.025626412721956048,48.880569584047834
45.458880009023304,136.9233368248089,0.02115212172892514,45.43772788729438
42.25489333495212,141.0725288498031,0.01751490158810646,42.237378433364015
39.276989011651814,145.2217208747973,0.014547426801881194,39.26244158484993
36.50915868876128,149.3709128997915,0.012118001546979779,36.4970406872143
33.93653984110466,153.52010492478573,0.010122502908290712,33.92641733819637
31.54533087785852,157.66929694977992,0.00847825274437908,31.536852625114143
29.322713240672943,161.81848897477414,0.007119330955294818,29.31559390971765
27.256779742293126,165.96768099976833,0.0059929724334632116,27.250786769859662
25.33646851814211,170.11687302476255,0.0050567833726270495,25.331411734769482
23.55150205672347,174.26606504975678,0.004276580425000762,23.547225476298472
21.892330848048754,178.41525707475097,0.003624705762137841,21.888706142286615
20.35008124785315,182.5644490997452,0.0030787075483108706,20.34700254030484
18.916507202881817,186.71364112473938,0.0026203023049377228,18.91388690057688
17.583945521697053,190.8628331497336,0.0022345557114862766,17.581710965985568
16.345274408224757,195.0120251747278,0.0019092334002807436,16.343365174824477
15.193875003052876,199.16121719972202,0.00163428459145988,15.192240718461415
14.123595701368465,203.31040922471624,0.001401429945669371,14.122194271422796
13.128719037160627,207.45960124971043,0.0012038314902522152,13.127515205670374
12.203930941515715,211.60879327470465,0.0010358274163797465,12.202895114099336
11.344292198941389,215.75798529969884,0.0008927183307567922,11.343399480610632
10.545211940024943,219.90717732469307,0.0007705944586911584,10.544441345566252
9.802423021631123,224.05636934968726,0.0006661955458697145,9.801756826085253
9.111959157488595,228.20556137468148,0.0005767969516569093,9.111382360536938
8.470133672575423,232.3547533996757,0.0005001167855915807,8.469633555789832
7.873519764328526,236.5039454246699,0.0004342400004916399,7.873085524328034
7.3189321624862815,240.65313744966411,0.000377556188069434,7.318554606298212
6.803410087419287,244.8023294746583,0.00032870847792619795,6.803081378941362
6.324201414191646,248.95152149965253,0.0002865514577804138,6.323914862733865
5.878747956391487,253.10071352464672,0.0002501164421554515,5.878497839949331
5.464671790030953,257.2499055496409,0.00021858274190345608,5.464453207289049
5.079762543593845,261.39909757463516,0.0001912538459696553,5.079571289747875
4.721965585645854,265.54828959962936,0.0001675376337460564,4.721798048012108
4.3893710463566,269.69748162462355,0.00014692990216015535,4.389224116454439
4.080203613848916,273.8466736496178,0.00012900062483433262,4.080074613224081
3.7928130505183515,277.995865674612,0.00011338246792919368,3.7926996680504224
