sma,Total_int,Sersic,Exponential
0.0,1315.0631923703766,1211.2401923703765,103.823
2.1980868305932226,692.6585681345265,593.3867588801215,99.27180925440497
4.396173661186445,441.0487083020482,346.12858354507756,94.92012475697067
6.594260491779668,303.17429992910525,212.4150989882895,90.75920094081576
8.79234732237289,221.1474429194078,134.3667673091974,86.78067561021041
10.990434152966113,169.80122465114124,86.82467151604399,82.97655313509725
13.188520983559336,136.36223424185405,57.02304585955557,79.33918838229847
15.386607814152558,113.80359852942681,37.942327178311594,75.86127135111522
17.58469464474578,98.05740816721277,25.52159568477085,72.53581248244193
19.782781475339004,86.68246383106414,17.326335219193343,69.3561286118708
21.980868305932226,78.17334719099374,11.857517652436611,66.31582953855713
24.17895513652545,71.58134419184914,8.172539008996795,63.40880518285235
26.37704196711867,66.29768497968158,5.66847167278577,60.62921330689581
28.575128797711894,61.925592043249054,3.9541242697615466,57.971467773487504
30.773215628305117,58.2028126991158,2.7725853794704873,55.43022731964532
32.971302458898336,54.95373356400839,1.9533487417229771,53.00038482228541
35.16938928949156,52.059262050196786,1.3822050157441363,50.67705703445265
37.36747612008479,49.437600043933266,0.9820252724588742,48.45557477147439
39.56556295067801,47.0318121552868,0.7003386279723953,46.33147352731441
41.763649781271226,44.80169622768794,0.5012117254189798,44.30048450226896
43.96173661186445,42.71841366506823,0.35988764109505866,42.35852602397318
46.15982344245768,40.760910524982506,0.2592151805057099,40.50169534447679
48.3579102730509,38.913512485679206,0.18725168877559636,38.72626079690361
50.55599710364412,37.16429637063752,0.13564207470544523,37.02865429593208
52.75408393423734,35.50397965697606,0.09851548995071409,35.40546416702534
54.95217076483057,33.92515810575933,0.07172981575990443,33.85342828999943
57.15025759542379,32.421778979203104,0.05235143605273722,32.369427543150366
59.34834442601701,30.98877471180195,0.03829517703695778,30.95047953476499
61.546431256610234,29.62180651765915,0.02807390824163542,29.593732609417515
63.74451808720346,28.31708374519292,0.020623628186476717,28.296460117006443
65.94260491779667,27.071235701447,0.015180768432715198,27.056054933014288
68.1406917483899,25.881220008055546,0.011195789078086675,25.87002421897746
70.33877857898312,24.744256519070206,0.008272106433627031,24.73598441263658
72.53686540957635,23.657779213098728,0.006122775400022634,23.651656437698705
74.73495224016958,22.619400787165958,0.004539663581150585,22.614861123584806
76.93303907076279,21.6268862721453,0.003371446187947936,21.62351482595735
79.13112590135601,20.678133090202742,0.002507850976021607,20.675625239226722
81.32921273194924,19.77115573874036,0.0018683461194949212,19.769287392620868
83.52729956254245,18.904073817964342,0.0013939961929411908,18.9026798217714
85.72538639313568,18.07510249200129,0.0010415838790015838,18.074060908122288
87.9234732237289,17.28254473540261,0.0007793565981724402,17.281765378804437
90.12156005432213,16.524784901559325,0.0005839416173675458,16.524200959941957
92.31964688491536,15.800283280228664,0.00043810356440443553,15.79984517666426
94.51773371550857,15.107571404153326,0.0003291107602904573,15.107242293393035
96.7158205461018,14.445247930843426,0.00024754258847993054,14.445000388254945
98.91390737669502,13.811974972821236,0.00018641708069272456,13.811788555740543
101.11199420728823,13.206474783490314,0.00014055150270597243,13.206334231987608
103.31008103788146,12.627526730146727,0.00010609283329983399,12.627420637313428
105.50816786847469,12.073964503227987,8.017237147659198e-05,12.073884330856512
107.70625469906791,11.544673523624358,6.0651211338855114e-05,11.544612872413019
109.90434152966114,11.038588519130355,4.59323612056616e-05,11.03854258676915
112.10242836025435,10.554691247866046,3.4821829682556515e-05,10.554656426036363
114.30051519084758,10.092008351446765,2.6425753405590897e-05,10.091981925693359
116.4986020214408,9.649609324325134,2.0074097983172677e-05,9.64958925022715
118.69668885203401,9.226604588428865,1.5263983350274485e-05,9.226589324445515
120.89477568262724,8.822143664230246,1.1617524946299606e-05,8.8221320467053
123.09286251322047,8.43541343089441,8.850428601179912e-06,8.435404580465809
125.2909493438137,8.065636469297733,6.74856402312866e-06,8.06562972073371
127.48903617440692,7.712069482583115,5.15046656627032e-06,7.712064332116549
129.68712300500013,7.374001789595962,3.934250092448418e-06,7.373997855345869
